lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
PG (22:0),-0.9356791020793404,6.700851394240164,21.0170869031773,4.5520553606078654e-6,1.3393158438766253e-4,586.3814 -> 397.3814,PG,18143.0213279749,24771.9616737282,38601.2430000254,44354.4028472625,67953.3446006278,93468.426254253,88705.1460838139,48836.7225913908,49360.2635039941,63036.625000007,23464.28164673
C22:1,0.9252242127366028,10.668094118848568,20.56517019824878,5.763523403373963e-6,1.6588923882754624e-4,337.3 -> 337.3,FFA,428387.510498228,493844.956146002,1147445.20312341,3308357.33984372,690446.186462234,729247.592895561,630390.788208086,565546.280334397,547473.638732731,383681.868530263,317991.084289549
PI (32:1),-0.8915932020134851,10.752132279026151,19.11990837284975,1.2275769258990057e-5,3.458110318915497e-4,826.5176 -> 549.5176,PI,447218.93530262,757397.59472565,1142626.89050299,662009.32067846,531646.67724606,1190142.51403797,1282222.45190419,1461925.42700205,984816.07519544,1163115.02539064,111841.8876953
Lyso_PE(17:2),-0.8817633226860851,5.690363088867465,18.692399334506717,1.5359350961962603e-5,4.0752483888097427e-4,464.2699 -> 322.2699,PE,17794.581176753,20546.081306447,16792.1012306171,20923.681289668,19556.8214340164,21311.461593633,27474.901969902,38256.642913822,45385.683624334,29290.601852428,15101.2610244777
Lyso_PG(22:2),-0.8819316703789176,4.993038142649605,18.688609298416225,1.538991083387365e-5,4.0752483888097427e-4,582.3427 -> 393.3427,PG,1752.0601272578,5411.2203712468,11623.0808448722,19169.3611755383,17466.3014564502,17986.461128229,22051.5815963732,19105.9613761879,17102.6010856527,17543.9614105264,13363.2809982231
PE (34:0),-0.8814222505876412,9.365000506643245,18.692034896595146,1.536228685232566e-5,4.0752483888097427e-4,720.5539 -> 579.5539,PE,281420.720459097,271982.4382629,292048.681915269,273916.141387872,230864.097198405,492765.058196974,368234.443847548,500859.861755357,417045.188293529,501803.012268059,59787.904113785
Lyso_PC(18:4),0.8583462285684941,6.607501598543313,17.730014053105606,2.545780124393116e-5,6.609044871953893e-4,516.3012 -> 184.1,PCandSM,44835.9434013424,40794.023216254,43681.703170774,69859.8053321563,35177.562561039,28958.842132558,24125.701614369,22326.381866452,22993.081665037,19272.2214584266,85302.14660642
TAG(58:2)_FA 20:4,0.8518490380857099,7.545570146219393,17.473591048456,2.9132652008497013e-5,7.417621396009624e-4,960.9 -> 639.9,TAG2,164474.871276886,125689.849121078,105324.967346167,143541.450408976,168038.791168149,63048.264465338,64603.404602072,94564.725585935,62855.584716802,75271.525146504,12737.5806922957
PI (30:2),-0.8502820478414486,8.234393136426316,17.411252435967526,3.010385456835145e-5,7.520283669527796e-4,796.4706 -> 519.4706,PI,102643.986175598,100928.027740504,140880.129974259,99063.607513397,88385.626831048,197578.252899166,179589.829162588,207500.392517021,140989.389831559,157867.311584514,123507.527252148
TAG(58:9)_FA 18:2,0.8463368862526411,9.41792607198447,17.25384694126683,3.2703472453743034e-5,8.018406949769589e-4,946.8 -> 649.8,TAG2,550740.88818401,373642.70654316,363746.20556622,885079.63818373,424214.88671891,238803.27685552,275675.620788478,284791.12011724,233781.81567385,278670.95800783,60003.024066935
1-O-palmitoyl-Cer(d18:1/16:0),-0.8375254929695057,6.964244602149235,16.896781312820906,3.94684521069479e-5,9.501132834472551e-4,776.7 -> 264.3,CER,69254.9844780623,41867.8030624266,43779.4826927104,45342.3832855119,39951.6628684765,79569.0856589906,79050.8864097967,78651.8653983005,82432.4451560433,72757.085556087,33560.882492074
PI (28:0),-0.8284462401615271,9.590639881413514,16.5418328990163,4.758850452514386e-5,0.0011251282141301869,772.4706 -> 495.4706,PI,254508.7969971,373065.50573721,427693.62902829,309066.53991704,230078.236755418,583091.417602617,607882.33996582,600708.57281559,432830.135925186,396093.47161855,86343.125915511
TAG(58:4)_FA 20:0,0.8198113792405203,6.709403419799194,16.198184647854646,5.704875959647169e-5,0.0013251325913285704,956.9 -> 627.9,TAG2,91520.086547841,76183.365295418,68620.704772951,73114.065429666,78495.165588367,38115.202453619,42578.423034651,42140.663024903,37091.922546388,42429.322967507,9830.3206901563
Lyso_PG(22:0),-0.81880411133203,6.630664858039582,16.15835905016866,5.826088444069294e-5,0.001329955362059956,586.374 -> 397.374,PG,18973.1813621337,24530.9617920057,37971.5025863396,43095.3828887801,71079.1846886058,93766.207473667,77920.785282208,42521.9829406687,46106.4233627196,59077.524261482,21081.241439814
Lyso_PC(18:3),0.8095834605040795,6.944840602940043,15.798903067456761,7.044333661058041e-5,0.0015807962317357367,518.3168 -> 184.1,PCandSM,56427.2435607949,43857.8035049321,48643.1438751211,74305.124816901,39777.122741694,32124.142303475,31080.241989128,25665.221694942,25044.461761478,22933.3214950693,124788.787841755
Lyso_PC(21:4),0.8080433459371105,6.026660413718619,15.736144391219911,7.281934577929114e-5,0.0016068802301963578,558.3481 -> 184.1,PCandSM,27567.122161861,37873.4622802532,29050.92214965,65996.7644500676,26010.441619871,19852.1216659569,20036.4015884424,21923.621353146,19490.481224063,15761.1610946598,38808.8826255756
PI (20:0),0.8068634113734143,7.325924177795881,15.698932167194918,7.426608579894534e-5,0.0016119393048820267,646.3662 -> 369.3662,PI,51400.583038282,59159.424530075,317153.507385262,101391.966232343,56376.223846442,56593.304107692,73785.56549078,60582.363830577,63655.723846414,53180.944274897,20093.101348883
PGo (38:1),0.8019798338784321,7.374840900969205,15.511929600949312,8.198620311540713e-5,0.0017508021439483715,808.6162 -> 619.6162,PG,104244.527343807,67941.864715549,73558.28543092,279235.597717261,82304.066345235,58091.503356911,72086.985916108,64636.70492553,58425.883300752,60173.784088138,27119.542053227
PG (40:6),0.7955717572385754,6.743324257174873,15.265820320526856,9.339122003294523e-5,0.0019626980210098333,840.5485 -> 651.5485,PG,87395.366134585,61904.323410045,45703.043365485,129476.570220945,45427.423416144,36776.26284789,43864.063041699,39128.962966911,37933.862670891,35466.402633661,28001.981750491
PEo (34:2),-0.7945083987007046,7.300679120686661,15.2276721493002,9.529674154834716e-5,0.0019714513407814317,702.5433 -> 561.5433,PE,70396.964614888,58074.163650501,75850.745285129,58916.944671622,62668.244262694,104283.386459334,93109.14678958,136514.989639297,81237.885253828,105223.105835003,23853.201828001
Lyso_PC(18:1),0.7912678917379955,6.939672525462122,15.101495759859061,1.0188253042046947e-4,0.002043825307222751,522.3481 -> 184.1,PCandSM,61129.224349976,45627.082977296,52698.563766475,88111.945922832,40876.422927882,42154.12252809,28715.2024345228,28963.402160646,25532.841835022,25846.561645501,108803.48706054
