lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,7E1,7E2,7E3,7E4,7E5,SolventBlank1
PE (36:2),0.1878794810306749,14.993686560801157,0.4571539485779077,0.4989570914465664,0.9315942173064911,744.5539 -> 603.5539,PE,152530940.812499,191934487.742188,175467045.492187,146974913.679688,151925813.71875,126166411.828125,147993945.367188,116962414.96875,122023022.398438,201805979.992188,917451.571289
PG (34:3),-0.18732119673829278,9.876741386044703,0.4544419379963074,0.5002330620203715,0.9315942173064911,762.5015 -> 573.5015,PG,3914547.52246126,5866930.59692297,3966173.10669005,3033609.80517537,3921743.41845715,3113310.26367235,4009244.0397949,4415036.49462941,3541788.14257827,8024984.66918846,66320.96435547
TAG(56:4)_FA 18:1,0.18731014674089336,4.942338674843059,0.45435397954773293,0.5002745381457063,0.9315942173064911,928.8 -> 629.8,TAG2,52864.3236732467,148314.5106201,174714.61303716,209037.35461427,147099.60986329,171166.91149904,135920.83020021,126704.368469252,50367.1035842806,143200.110717776,25256.4016532802
Cer(d18:2/20:0),0.1868466879092967,5.012523782524674,0.4521096402559124,0.5013348187236758,0.9322574438063859,592.6 -> 262.4,CER,139171.549438506,166172.631805427,142912.069763187,151555.930442801,120137.728515649,118293.168937695,124169.688812242,88049.365936262,111093.527717575,189112.79347225,39593.0624237106
16:3 Campesteryl ester,-0.18500736056136508,3.2942270490002765,0.443172546231267,0.5055951637907707,0.9380583371840773,650.5532 -> 369.1,CE,38326.1225852945,39348.8228530911,39182.4428481973,31382.782119751,33585.0422058186,42152.2029571496,39374.0426406681,37924.4627304211,49303.0635910187,40243.4028968818,17030.5411224374
TAG(60:6)_FA 18:1,-0.1848916697227402,2.974553851772141,0.4425976475637583,0.5058713389346157,0.9380583371840773,980.9 -> 681.9,TAG2,20304.4214668198,32846.962280286,31890.562103271,37565.64270019,32986.1822357119,46291.8831710699,36155.8026275475,47635.0033684005,19145.8413353075,26457.601776108,9793.9806823733
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.18379932777593108,9.697893169270584,0.43752521638816666,0.5083193529387624,0.9386538679092349,414.3 -> 85.1,AC,3226553.8144532,2740496.0605468,2901243.8466798,2769544.7216799,2671661.3720703,2520424.5273441,2696765.9355471,2363903.1572263,2614679.0654295,2613033.0195315,2817693.6347659
PI (40:10),0.18400884845828616,3.567326252840654,0.438430060719611,0.5078811730813095,0.9386538679092349,920.5019 -> 643.5019,PI,46257.943542474,63042.644058214,49809.663543689,52555.744049087,51113.943649268,40218.982788083,43696.763458242,49028.3834609868,51135.143447888,47164.123245237,15620.6210937488
TAG(60:8)_FA 18:0,-0.18388709438743583,8.0025114885099,0.4379401444033987,0.5081183391212769,0.9386538679092349,976.9 -> 675.9,TAG1,653003.543453591,1079868.64526375,1163750.08227541,1045070.44580088,960304.9626466,1121653.33691409,1238583.44384764,1006421.3129881,1073559.72460967,1092033.06115733,414921.847213514
C20:4,-0.18185974766291005,6.925018687613355,0.4283362062178635,0.5128064777745389,0.9406818379404952,303.3 -> 303.3,FFA,434753.592834569,337201.262390152,344146.744812002,383609.488647487,364733.923889137,593103.180114788,372990.466125372,390124.587524465,406785.609802352,397538.087707468,398280.246643083
C24:1,-0.1818647667565159,6.806682641168676,0.4283601524075493,0.5127946953844734,0.9406818379404952,365.3 -> 365.3,FFA,569327.001449442,360279.506187306,295813.500328183,331207.923446601,355744.503433179,398932.83024607,376887.764862264,507862.972534054,504482.835044894,448550.49636846,253287.736496012
C30:0,-0.18178838970900524,6.987989200063353,0.42800395632457366,0.5129700052817504,0.9406818379404952,451.4 -> 451.4,FFA,608378.258167221,430549.387649476,607720.827819872,544057.89830014,547349.994526097,650963.046165522,696169.370162986,588979.484817323,590442.045761054,636680.786315987,15777.7611923215
Cer(d18:2/14:0),-0.18264181420164566,3.2220237736652435,0.4319067398395191,0.5110548202441234,0.9406818379404952,508.5 -> 262.4,CER,34001.1026992848,31710.9620437588,26243.6018867445,34141.0222854685,36970.4426536604,38304.8827476488,39543.6628112713,21923.6415786731,54524.3435630621,35357.0424804714,20787.0814590461
PEo (36:2),0.182315763562261,14.990941916502257,0.4304969546215236,0.5117452009035398,0.9406818379404952,730.5746 -> 589.5746,PE,152210074.289062,185936878.304687,174490524.460938,152713187.875,149985887.164062,137789172.164062,147577863.617187,119716877.585938,138933904.023438,174663857.46875,822351.2499999
PEp (32:1),0.18091390429362575,3.889281722211097,0.42383509099977346,0.5150295852342875,0.9418496834947468,674.512 -> 533.512,PE,63772.324432384,75802.885650625,67743.265090913,63998.024673484,62979.263946514,56321.3041382,60466.463851919,62154.764617926,63947.304443365,53948.084045404,16304.0810775754
TAG(60:5)_FA 20:0,-0.18098012038429798,2.973842555762955,0.424080038098964,0.5149081736956838,0.9418496834947468,982.9 -> 653.9,TAG2,21436.0416831983,28135.842010502,29055.342071529,44648.102935788,31441.942268376,47928.5638694588,33208.5024147057,51624.1634902829,15626.2211570786,26447.381927481,9801.7408065766
TAG(58:1)_FA 18:1,-0.17932722029999107,6.445457347862697,0.4164970766287297,0.5186901303537921,0.9472354932254079,962.9 -> 663.9,TAG2,84421.3259086722,315403.38439931,435378.95019515,742245.99487308,317515.665763896,550481.69311525,443793.65161147,468594.51611316,141860.569103229,483400.85302726,38868.0426330548
14:0 Cholesteryl ester,-0.17688474316282726,3.1897761433858234,0.4051196420920178,0.524457034335782,0.953606821737499,614.5532 -> 369.1,CE,34903.2224006617,34856.802459711,32990.2224807733,26722.8018684351,29258.7419776916,26380.1617546019,34431.0023841873,32944.3422355648,44814.6833114707,42368.1430320692,21181.3814544693
PI (40:0),0.17660126812962731,7.302560913023028,0.4039429445256246,0.5250599494309945,0.953606821737499,940.6584 -> 663.6584,PI,761955.223144671,701610.813903715,646026.312438942,811422.161804152,516464.239867633,569455.680389418,782400.692474382,416190.084777852,454192.398254263,855850.515563909,210821.173645012
TAG(60:12)_FA 20:0,-0.17693413852198303,3.2967375167403405,0.4053687161341486,0.5243295718178749,0.953606821737499,968.9 -> 639.9,TAG2,23844.8819274992,31408.822265632,37174.54244997,64187.584899927,37591.3828353962,54661.644104012,45033.663146978,67399.284881564,20229.5014305075,31449.042358389,12170.0008392334
TAG(60:5)_FA 20:4,-0.1773289030268091,4.264286004336422,0.407230578726967,0.5233785116346676,0.953606821737499,982.9 -> 661.9,TAG2,42179.6428565993,73148.205444342,85606.686950704,109369.247131371,78393.8852157683,109533.66777803,94957.8670921052,116593.788528422,38999.4028243937,74336.445678683,20928.681472777
Cer(d18:0/16:0(2OH)),-0.17526327269410463,4.570539432285154,0.3978115578881898,0.5282216291066053,0.9562147273235955,556.5 -> 266.4,CER,95299.926940916,100408.947387698,89666.986053475,82876.58615111,81350.92599485,93072.986419668,118206.948791453,70465.484664923,108544.627319322,123018.469741809,37219.602600087
Cer(d18:1/24:0),0.1752561256000277,5.5689433365175,0.39779633885189014,0.5282295191727534,0.9562147273235955,650.6 -> 264.3,CER,206867.93114469,155034.531890944,180806.054363204,167211.072982782,119140.187286342,179486.714561417,166065.411529496,88489.64578254,132989.609741339,182979.312606908,153328.890602057
PCo(36:2),0.1750661951082943,13.488028521914734,0.39696174766496534,0.5286625229613836,0.9562147273235955,772.6 -> 184.1,PCandSM,54383658.546875,60252794.0234375,60410604.65625,55694509.3515625,54647974.0234375,51687666.265626,56379289.625,44254127.671875,53629581.234375,49239450.96875,659523.42968753
PEo (40:4),0.1746954395613469,3.7582393359298005,0.3952086779665933,0.5295741274883624,0.9565568141808892,782.6059 -> 641.6059,PE,59192.004028317,70314.164855967,56479.624359124,55298.883758493,56271.844207805,52739.103881825,50735.603057862,64523.024475098,51776.863906874,45436.183288566,17833.081237791
TAG(54:5)_FA 20:4,-0.17375101549105115,8.856474628301807,0.3910213918425143,0.5317630029581515,0.958373217392992,898.8 -> 577.8,TAG2,1183399.87102496,1802679.85156244,2032652.87402314,2354865.7382813,1924470.7968751,3325760.0234379,2438103.6201178,2257462.5410157,861765.5625001,1587439.79492188,534656.800903483
TAG(58:8)_FA 16:0,-0.17333259488955793,8.600479729735635,0.3891409991265391,0.5327512749254094,0.958373217392992,948.8 -> 675.8,TAG1,1008348.05318843,1631552.85986313,1793408.1396486,1598747.41796859,1478035.65039081,1762126.50390631,1905746.55224628,1499662.94580079,1620849.390625,1635529.88256816,595916.520416331
TAG(60:8)_FA 18:2,-0.17339539428375647,3.4034610123357534,0.38933135788352047,0.5326510779139761,0.958373217392992,976.9 -> 679.9,TAG2,28918.0420684825,37474.80288696,40386.283111536,55078.184020995,44668.0432014483,57115.3643455245,49715.3835106128,66075.0242690913,23931.6615905781,35650.682708732,14474.2011070249
Lyso_PC(15:0),-0.17241327981404667,3.655367093315458,0.3849559478230731,0.5349627586112278,0.9610457156055164,482.3168 -> 184.1,PCandSM,51642.724060045,53680.403472913,42935.243194589,53797.80413818,58281.384201062,79468.105148272,51412.62350464,66060.8246002146,68431.665313737,33719.2024231,8599.6406097448
PE (40:6),0.17187845596153006,4.14768591576424,0.38258708264879715,0.5362219153373362,0.9619787170225718,792.5539 -> 651.5539,PE,61783.683929439,84843.185516367,77393.104888912,68998.264694215,76007.944763185,63598.464782738,61571.02389528,80816.88609315,57908.803787222,62206.524017324,33680.002273556
PI (34:6),-0.1715710586159799,4.9807499422544375,0.3812495598123178,0.5369352506644113,0.9619787170225718,844.4706 -> 567.4706,PI,104888.887084949,160702.591796892,125372.028900129,116537.887573263,142620.530548097,108322.286590577,129945.268493703,139625.708190936,209696.356536968,143463.489257815,27442.641906743
C18:4,0.17041209104830782,6.301517528500185,0.37613304570732,0.5396800653326341,0.9633624013054372,275.3 -> 275.3,FFA,441228.688781706,192444.173248279,210022.174652174,307485.583801114,216757.276870711,220182.595550526,278778.579254107,190651.752380368,310387.179687616,274688.218322883,242991.895873994
PI (42:5),-0.17046509045847102,2.5987763850097054,0.3762070274329119,0.5396401942399268,0.9633624013054372,958.6115 -> 681.6115,PI,19995.0413818312,24347.961608879,21107.6415863002,22097.3016586307,19726.381347641,19062.9612426694,19963.3214721765,27517.2219543339,32589.282043452,22069.6412734929,13584.5409545889
TAG(56:8)_FA 18:2,-0.17033085527623973,4.305403854611545,0.3757429135516759,0.5398904091908114,0.9633624013054372,920.8 -> 623.8,TAG2,42060.5032462972,85426.785705547,86854.806091295,95283.00732421,93088.08581541,105328.38806151,88608.96618653,120771.48950196,52490.024047834,78567.24566649,21368.8015670749
PE (40:5),0.16897872110011558,3.5506234214952848,0.36976601182163926,0.5431318393634956,0.967021291875929,794.5696 -> 653.5696,PE,43616.32281494,55445.623992915,48849.383697501,49954.223480237,47923.76351927,40927.122512812,36448.402709951,56133.244155859,43530.843170151,41132.422759994,20966.821823122
TAG(58:10)_FA 18:1,-0.1688537897119536,4.84812284277226,0.36927138701139484,0.5434016927157789,0.967021291875929,944.8 -> 645.8,TAG2,79006.2653541753,110585.4276123,111532.647888182,137378.62963869,123332.468246478,161641.49072266,143816.29028319,154969.40966797,56497.88397979,112499.38781742,40561.4027595586
"(7Z,10Z)-hexadecadienoylcarnitine",0.1681570782738332,7.869139816158679,0.36626043939941155,0.5450497387881873,0.9686029463630732,396.3 -> 85.1,AC,1055049.59179698,1015479.0341798,1000238.6118165,1057246.34875496,704861.90832524,775017.79382326,979586.03320319,590982.87817391,640712.04760732,1332499.69360348,428380.48901365
PEo (18:0),0.1670829517261596,6.780145265061179,0.3615956058856682,0.5476214095591183,0.9686029463630732,468.345 -> 327.345,PE,455348.615295422,398201.949218707,656063.330444374,653208.680175581,490212.812683006,687201.581420501,662183.717407338,301375.499999984,687031.93139618,109738.888671889,37346.302520762
PEo (42:6),0.1669586377257255,4.019340568069031,0.3610054868076986,0.5479483435241252,0.9686029463630732,806.6059 -> 665.6059,PE,70807.144714326,71093.42495725,68251.184539799,71107.884429944,55339.664550757,55925.244079584,59570.604187018,68110.084381098,55928.344055194,62512.604492181,29262.321578975
PI (44:5),-0.16703753592599047,2.4548975826423156,0.3612290143125847,0.5478244634916154,0.9686029463630732,986.6428 -> 709.6428,PI,19601.8014106692,22040.3815345901,21120.0416717609,20674.0214462306,18518.0010948132,16310.5010795592,14888.3610763514,34684.6225891119,26340.8419570893,21835.381591798,9840.4207191449
TAG(56:5)_FA 18:0,-0.16733503464708632,3.9768020384360927,0.362633606806412,0.547047223374631,0.9686029463630732,926.8 -> 625.8,TAG1,29326.2821159272,71641.805358902,69630.06457516,64010.484863262,64682.444213842,77251.985412602007,61249.884765624,73956.265197733,75419.805175788,44151.622894272,28556.1417312576
(11Z)-eicoseneoylcarnitine,0.13568871483914435,8.384764452046985,0.23852531392185483,0.6252732453512988,0.9702984767466029,454.4 -> 85.1,AC,1760743.42114177,1393946.043946,1424281.51416018,1470064.6591791,982150.604491969,1191659.3117674,1521191.22119042,852949.62182614,1002486.7128906,1924882.86840797,497896.63867191
"(11Z,14Z)-eicosadienoylcarnitine",0.14323056839406612,8.378723672293088,0.26576648316404317,0.6061858944256917,0.9702984767466029,452.4 -> 85.1,AC,1765226.78222661,1433462.63891594,1432893.46313403,1489112.95605448,988999.97045933,1177180.1413573,1537173.97290035,886465.03735368,1000578.82885754,1924811.21801782,456762.84985366
1-O-tricosanoyl-Cer(d18:1/18:0),-0.15296141680023947,1.8021907583177807,0.30284290485690935,0.5821056395230514,0.9702984767466029,1001 -> 264.3,CER,12415.7808418292,13723.6009292582,12393.0408515923,10700.7807273873,12209.2007369983,13394.220947265,15337.8411140443,12307.0408554059,15166.4011268653,12916.7408752448,8089.5405235275
16:2 Campesteryl ester,-0.16286964491195233,3.3787502007737076,0.3435164173715748,0.5578064776760074,0.9702984767466029,652.5689 -> 369.1,CE,41520.1830177368,44033.1034622297,36928.5826339829,33776.5025138893,35911.7027473439,45280.6833572271,38795.6425247213,39557.1827545102,50341.6234130753,43557.4631805432,19014.9613876334
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.14229987747509776,6.308625604289239,0.2623194482002873,0.6085311221835927,0.9702984767466029,750.6784 -> 369.1,CE,508032.488102068,345017.951152752,417686.390315994,326189.143520458,246966.221153158,325281.641132402,317432.345031714,281799.859127059,298038.540515949,475505.737171259,35547.7627029354
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.13393811269580572,6.310169691380245,0.2324073362474337,0.6297445417324924,0.9702984767466029,752.6941 -> 369.1,CE,501277.254028259,339454.545639075,406101.5691527,327434.321166917,261378.161514099,330004.864784316,312395.606578886,281970.822608773,300758.702892338,475219.429100208,37874.0628280683
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.14670724248322517,8.44426823615901,0.27881952730967896,0.5974759861220805,0.9702984767466029,456.4 -> 85.1,AC,1848054.6396484,1443271.45678704,1445640.6013184,1494084.08886722,1007503.15307632,1208083.94873058,1542211.8715816,889265.28271476,1016409.36743172,1981297.55517647,567942.2614746
C12:0,-0.1540963796377426,6.909832704232859,0.3075930381401122,0.5791609627658024,0.9702984767466029,199.2 -> 199.2,FFA,376807.42584217,357757.205749491,343998.503662117,339969.224853494,327323.802917366,376974.565063321,380931.426940896,393084.368347146,351062.685302681,455922.471740724,459931.9130859
C20:3,-0.155501324493376,7.139619757275245,0.3132255652138838,0.5757075618174863,0.9702984767466029,305.3 -> 305.3,FFA,422787.769531224,363527.226013221,352831.765197687,366489.783813547,412103.489441063,402860.808960229,394132.4063719,376259.38653551,519101.876281584,476314.313476549,600738.60229496
C22:4,-0.13549125172882381,6.828029402529965,0.23782640280342093,0.6257804276092307,0.9702984767466029,331.3 -> 331.3,FFA,343878.44302377,324643.140655546,318194.001892196,327410.564422839,326000.941375828,365345.764770498,353040.446014294,349464.2842406,351223.543853721,400467.28829959,445189.690979163
Cer(d18:0/18:0(2OH)),-0.1446434661959049,4.941222606539175,0.2710129106067143,0.6026531113323549,0.9702984767466029,584.6 -> 266.4,CER,123412.210502663,140550.230453482,119368.728591886,99615.767837504,116511.828903215,114422.047851617,211511.434036143,87201.265983559,119755.009017955,140594.449310317,43107.943054197
Cer(d18:1/18:1(9Z)),-0.15547839718027223,3.954337759128957,0.3130852137871898,0.5757931169615307,0.9702984767466029,564.5 -> 264.3,CER,60440.7844238222,58828.763992294,52503.5035781853,56327.603813146,50025.0831298746,63789.464767463,62694.704292298,45489.9833831645,74884.6049499605,67800.624893189,32515.1425247234
Cer(d18:2/22:0),0.14133467157719654,3.6469566327733216,0.25872776221820004,0.6109955493617664,0.9702984767466029,620.6 -> 262.4,CER,51316.9634704457,57943.044250496,53824.3036270064,49122.9032134855,50810.3841972214,48921.5235557558,56537.7241897502,35354.8428115924,57104.9639167958,44003.183147433,20804.9814910879
Cer(t18:0/22:0(2OH)),0.1615930054881345,8.989677466404718,0.3382412193532218,0.5608461869220714,0.9702984767466029,656.6 -> 282.4,CER,3127857.91567982,1782261.72091672,2441745.9010926,2531743.12176501,1440435.8702087,2228802.79629507,2349375.6800079,908840.859252391,1095054.51608276,3719314.08010873,468376.221480876
CerP(d18:1/12:0),-0.13369326800080483,4.09604991240327,0.2315286505649965,0.6303926664754294,0.9702984767466029,562.4 -> 264.3,CER,67535.944946275,68694.565200768,61871.024215698,59828.084213248,57088.604248047,67913.9450073449,69021.06463625,50711.123886103,82954.3062438798,79256.865783682,33309.3823814498
CerP(d18:1/24:0),0.1346127879445076,4.4468606240389486,0.23472992944562066,0.6280386213920256,0.9702984767466029,730.6 -> 264.3,CER,79766.9457015812,98694.5675430524,91347.066314696,73820.3454361116,76545.9455948038,76648.1854705845,92395.6857681203,52869.8038177465,88230.9262466417,76327.6257705493,53487.6236076377
CerP(d18:1/26:0),0.1529502591506673,4.627684798545813,0.3030137768271288,0.5819991931442743,0.9702984767466029,758.6 -> 264.3,CER,101515.306541442,128046.648849486,110498.807136522,96259.8467636261,98082.4667625309,91472.8464927694,127446.989067053,62285.0642242359,99920.7866096327,104047.627319312,35830.2224121052
CerP(d18:1/8:0),-0.13969249051495375,3.7452313876813106,0.25274250160100564,0.6151505837278147,0.9702984767466029,506.4 -> 264.3,CER,41478.5430793813,39301.0228271484,40031.9829788245,41088.002853391,38834.783012381,44304.7230300853,42332.2029342635,45139.7627945078,49570.263267514,42536.74302674,48911.5036239652
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",0.14163496255754943,10.54847948399291,0.25988196254184004,0.6102012596939294,0.9702984767466029,424.3 -> 85.1,AC,6219892.5195311,4937799.7031255,5298379.5624997,4963675.1054687,4703745.7480467,4856969.2460932,5202275.3632815,4425325.2402343,4925973.8183591,4763206.4511727,4741007.4804691
Lyso_PC(2:0),-0.1386826385857077,1.8453904242530954,0.24896185419114403,0.6178070182077998,0.9702984767466029,300.1134 -> 184.1,PCandSM,11946.4207534864,14573.8210372983,11886.7009201085,11645.7808532679,11945.200881957,12001.340881346,11891.9007987952,13634.640953061,12815.7609481842,17660.921264646,9222.7206268344
Lyso_PC(20:2),-0.14408051931564553,4.368549632899522,0.2689002066441617,0.6040704787671298,0.9702984767466029,548.3638 -> 184.1,PCandSM,84406.965484606,85508.026306169,75438.006011926,92546.785614018,99998.607284536,153455.292633004,73851.345458974,99742.367187503,129659.109100426,38848.562942496,10900.6607589726
Lyso_PC(22:6),0.13437219089544586,4.994341852518315,0.2339041219012188,0.6286439704785316,0.9702984767466029,568.3325 -> 184.1,PCandSM,149331.871582069,131310.650726325,135224.890045252,143924.690643295,132819.548797521,171991.91378784,117483.249191317,122499.548416065,140315.769897354,92307.006576503,39104.422927881
Lyso_PC(3:1),0.1332343665915669,1.439685386300123,0.22973552071682946,0.631720005253453,0.9702984767466029,312.1134 -> 184.1,PCandSM,10506.6806335498,11969.6209259006,9509.3606033327,9218.6207122814,10851.860824583,9286.2206344639,10154.7806625364,9966.7207260105,9947.6806716898,8606.600517274,6611.080471037
Lyso_PC(4:0),0.1625192441248213,1.9963950047681476,0.34186317648993736,0.5587557304419901,0.9702984767466029,328.1447 -> 184.1,PCandSM,14430.901092534,19175.461456302,13776.5810089136,12625.6208877569,11871.720794685,13858.7211151106,11335.360755921,13161.180984494,13986.460990912,12116.6007995561,12305.0408706669
Lyso_PE(12:0),0.1513680661777138,2.897372286286587,0.2967056032114215,0.5859551208154382,0.9702984767466029,398.2229 -> 257.2229,PE,29803.3421669057,35113.702209466,29817.242126462,28331.68190001,33831.182281484,31013.922149641,28233.821861268,24929.20140076,28495.142219542,29496.762023915,12433.840805054
Lyso_PE(14:0),-0.13490121354404677,3.283343826619348,0.2357043776357166,0.6273260016626878,0.9702984767466029,426.2542 -> 284.2542,PE,38410.602844243,37789.742584216,36388.66275026,37721.202545174,38784.762695312,35826.802551253,38179.42269896,38283.063049303,33724.362518306,61391.144454976,14081.581039427
Lyso_PE(22:2),0.14796111300232273,1.8403855719461895,0.28338563562176333,0.5944906890539725,0.9702984767466029,534.3481 -> 392.3481,PE,14113.00094986,15220.8210868845,13173.761047358,12973.1008834837,15880.1610946686,14117.1809959374,12855.4609222504,13194.9409637434,13354.7010269129,11593.4808540337,7662.9005966183
Lyso_PG(14:0),-0.13510380313856946,3.153728272013758,0.2363992193854827,0.6268189707295548,0.9702984767466029,474.2488 -> 285.2488,PG,36509.182434082,29860.822113046,28189.921707148,30890.06230165,29122.122238149,33974.622299212,38679.403228768,35937.822784421,31635.782501217,33008.881927492,21336.101478577
Lyso_PG(17:1),-0.1467963654516363,3.0057602348632906,0.2790596779019552,0.5973182004056649,0.9702984767466029,514.2801 -> 325.2801,PG,29280.461990349,31767.682144147,26657.10183716,26108.501792904,25372.001884464,23411.2815856905,28704.862228393,36461.802841211,37980.943145756,28854.162384041,19791.281227118
Lyso_PG(20:5),-0.1616573999365006,3.0301558868568965,0.3383901315793878,0.5607599456707267,0.9702984767466029,548.2645 -> 359.2645,PG,32584.462493892,29885.261970512,26868.001907353,22531.021850592,25583.7613983198,22554.981552131,44110.2037773116,32766.002227763,32416.961883548,25523.78167723,21387.181411746
Lyso_PI(16:1),-0.14389425326304,5.656589416095035,0.2682232136503444,0.6045261534106797,0.9702984767466029,588.2805 -> 311.2805,PI,194134.271667522,227290.977783208,189418.01501462,203437.074340805,220370.71606444,262347.03942867,266394.35546875,236584.316284332,218823.618347205,174025.33276365,46274.143463125
Lyso_PI(20:2),-0.1607105145968346,4.220750413974844,0.33451554469684197,0.563012191739633,0.9702984767466029,642.3275 -> 365.3275,PI,70369.305358874,89834.586669925,71538.004882807,84765.16665651,59199.344207757,62130.144653292,76139.085693368,59234.084411629,75046.845214842,143153.508956962,19698.901519762
Lyso_PI(20:5),-0.1601106092131122,3.5130352584943565,0.3319774767930994,0.5644969916354575,0.9702984767466029,636.2805 -> 359.2805,PI,40875.383026112,35222.80226136,29582.08202361,33946.5620880123,39503.322601318,26911.941925044,89169.106506362,29829.581985473,37473.702850342,25423.401718141,36258.342521707
Lyso_PI(21:0),-0.16206562116361725,4.311368408709027,0.3401843492608805,0.5597228313620343,0.9702984767466029,660.3744 -> 383.3744,PI,81450.805358857,94783.187683144,84934.386169451,88568.245910641,86172.146423406,85402.465789853,97137.686431887,90886.906097439,134788.449951054,84918.825805678,2645.9401855464
O-(13-carboxytridecanoyl)carnitine,0.1544513375271056,8.157292597954289,0.3090169514180161,0.5782840505814573,0.9702984767466029,402.3 -> 85.1,AC,1317518.80627498,1202682.92114259,1190693.44091731,1254842.89575255,820085.89868178,932252.66601571,1192034.78210361,680570.79101562,748416.914184589,1673342.90039177,557406.16235347
O-(17-carboxyheptadecanoyl)carnitine,0.14004138757186987,8.44391955551015,0.2540677165379748,0.6142253255626436,0.9702984767466029,458.3 -> 85.1,AC,1795455.77978508,1430879.87231456,1439765.61328063,1522684.0773914,1008900.51123052,1214540.68432634,1556604.2922363,880089.70336944,1029591.39331057,1947450.78540096,582132.54858407
O-arachidonoylcarnitine,-0.16265377880427376,8.152155044352465,0.34269264541580924,0.5582790842284874,0.9702984767466029,448.3 -> 85.1,AC,1320182.75439466,1114880.91479528,1054139.194336,969019.24951163,824917.01977545,1156326.80322267,1491002.28393399,958100.009765441,1005562.76635736,1417097.49365243,483863.5363771
"O-oleoylcarnitine, Elaidic carnitine",0.15044654745260833,10.531570645112636,0.2932089902606094,0.5881714345096674,0.9702984767466029,426.4 -> 85.1,AC,6150601.9960942,4970981.6621093,5261210.3789064,4916664.3085937,4734395.2226567,4818150.4882816,5110786.199219,4424957.5468753,4850743.6523436,4720368.1054693,4628535.9374999
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",0.15777339690060854,7.985646609720603,0.3224460546980481,0.5701413505285815,0.9702984767466029,398.3 -> 85.1,AC,1168544.52856471,1083828.79882812,1085057.36755386,1153234.69299272,762156.47631838,851406.52270503,1058754.83618179,635374.08349598,666978.91003424,1514450.74499474,447299.714965752
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",0.15886825489923556,8.068335625172985,0.3269346728975506,0.5674696630095277,0.9702984767466029,400.3 -> 85.1,AC,1234126.48486189,1155815.62402338,1146981.11743224,1198014.47485369,788106.45532228,904402.5168457,1152188.2243648,663062.73315432,699499.99035652,1553194.6278081,492946.95080583
PC (32:5),0.14423613458482495,11.030499345502731,0.2695115091758238,0.603659644384728,0.9702984767466029,724.5 -> 184.1,PCandSM,9402323.493164,11351558.3583979,11539640.6933595,8812963.1962895,10468897.2949224,11000619.7734385,10239979.1464844,7337353.8046867,9920190.2441409,8555349.3349625,145042.83044431
PC (34:6),0.13619115839899418,13.027264989034165,0.24029622911058135,0.6239922443408126,0.9702984767466029,750.5 -> 184.1,PCandSM,38686131.7265625,43391760.2656249,44776276.1796875,38114168.0273438,39977766.328125,39165462.3359375,42025707.515625,31356471.5820313,40724964.8359374,35085333.4335937,481008.91406247
PC (42:6),0.15435585668677787,5.769687360912186,0.3086239867207041,0.5785257920063149,0.9702984767466029,862.6 -> 184.1,PCandSM,182233.211486823,318453.279190064,223393.016510123,284668.379547043,211491.015136776,379703.428405815,161608.248962425,199275.753051671,145945.589843766,203067.87548828,65595.1652526774
PC (52:4),0.14116557747255967,2.4230140395071604,0.25805096323429666,0.6114623420260659,0.9702984767466029,1006.8 -> 184.1,PCandSM,24053.9817809887,24354.6017112767,22554.4414749069,25748.2218399044,29539.9821433817,24503.5817642179,26353.8218231219,21756.3814735441,27939.0622062709,16243.3610191313,2530.0001602169
PCo(34:4),0.1470497998340711,11.685494435289366,0.2801245113361117,0.5966196192157703,0.9702984767466029,740.6 -> 184.1,PCandSM,14970362.6191416,17645361.8808604,18137804.8105463,14594330.4492182,15887711.4707026,15112277.9902344,16850940.1738281,12134898.4824208,16289165.2675782,13626178.2207041,220200.2368163
PCo(36:3),0.16110845894986264,13.427934238117436,0.3362184186270217,0.5620201982132874,0.9702984767466029,770.6 -> 184.1,PCandSM,50861368.4296875,57939514.3984375,58597364.8671875,53303254.140625,52160461.8046875,50908343.273438,54144940.078125,42865115.2578125,51241785.4765625,46935465.7578125,619450.42089856
PCo(36:4),0.1578556268075544,13.426475907259166,0.3227854552654121,0.5699384772997443,0.9702984767466029,768.6 -> 184.1,PCandSM,51267273.109375,57811492.984375,58511388.078125,52763908.4921875,51791594.59375,51262316.6875,53341801.1328125,43470390.9609375,51534119.015625,46465657.640625,640531.52343777
PCo(36:5),0.154739389679234,13.418554609771236,0.3101730354980924,0.5775740232643477,0.9702984767466029,766.6 -> 184.1,PCandSM,51951935.6171875,57377932.046875,57627296.5859375,51425877.03125,51557565.8828125,50766485.179688,53521161.9609375,43150318,50876605.15625,46505557.40625,723037.90771509
