lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
TAG(52:5)_FA 16:1,-0.23756148256465243,10.750980438277198,6.0777344297021045,0.013689622626034924,0.11155586097385906,870.8 -> 599.8,TAG1,228146.73791501,286147.26135274,242077.23657232,340071.68261748,326605.52392596,235885.93749996,378552.5458985,281146.8800049,333573.20300293,324381.90405254,50146.3633842386
TAG(50:4)_FA 16:0,-0.23384809042988733,9.519120817705536,5.886723343169649,0.015255460124344294,0.11924165770660948,846.8 -> 573.8,TAG1,108505.04772952,108390.78796386,103769.86694333,121281.84790038,122237.16857907,108439.72753908,127877.76904296,119367.76794433,138639.9104004,122017.09020995,49556.2432174833
TAG(52:5)_FA 18:0,-0.23396959115839713,8.704001339964984,5.889597104378936,0.015230584542891471,0.11924165770660948,870.8 -> 569.8,TAG1,69565.325073228,65985.344787577,65354.984313948,64539.624511731,60657.324157731,55276.824127202,73572.625671388,65080.204833983,86207.107177728,78390.824707019,23283.2014732316
TAG(58:1)_FA 20:4,0.22148408389928798,7.929035761008716,5.273646379724568,0.02165061538426352,0.1640789189071694,962.9 -> 641.9,TAG2,45009.223114014,40252.563171377,47460.923156739,45326.022949205,50266.763366724,33556.0224265975,35280.12245179,33398.982421872,42150.962768543,37585.022949213,11179.7608413657
TAG(58:6)_FA 18:0,0.22102319706096546,9.078218392433966,5.257799300192318,0.021848628888422036,0.1640789189071694,952.8 -> 651.8,TAG1,87846.026794404,90960.587463448,109694.588806142,93736.106445329,95321.166320824,72867.62542727,75011.985168448,79937.625671412,81678.2458496,71934.6855469,41012.1831970717
TAG(58:7)_FA 16:1,0.22028345324834636,9.03153420126974,5.222569026430393,0.0222955899057758,0.1642155948829256,950.8 -> 679.8,TAG1,99752.586791964,81826.325866669,95099.106933611,95936.48608396,94394.72595213,68661.144775397,72994.60510254,76857.205627416,77802.0455322,76194.925476074,37150.7625541762
TAG(60:3)_FA 18:1,0.21898276966226177,8.392315667173722,5.158477746851986,0.023133164338177074,0.16716984795324188,986.9 -> 687.9,TAG2,55464.503601082,47664.2435417407,103187.327758733,49253.583602882,59144.804321265,50182.1635207914,45899.5029449279,48819.743644726,58951.003616308,49093.343605053,14071.2810020416
TAG(48:1)_FA 16:0,-0.21517365669136532,12.412477351931692,4.988190637162461,0.02552088084234732,0.174544595761054,822.8 -> 549.8,TAG1,725739.07031256,829070.63574223,732209.0732419,926581.61621108,1100670.1132811,820513.20214821,924147.0322266,937872.10937516,1103705.53417991,851512.1953123,318746.301387571
TAG(50:3)_FA 16:0,-0.2159773419635712,11.904475839728406,5.025269418208609,0.024980039024365054,0.174544595761054,848.8 -> 575.8,TAG1,568706.54199198,583736.70092778,521930.81689412,633151.10791042,697738.58789064,574459.58422855,638235.78808606,643065.10302732,735953.28906191,645574.53027364,236530.456802383
TAG(56:6)_FA 18:2,0.21537517968648442,8.822873069284709,4.992101733540778,0.025463263187335734,0.174544595761054,924.8 -> 627.8,TAG2,106192.88793943,74026.545196551,75720.305603028,84043.605957025,83199.525634768,70472.404968259,69920.485107414,57779.984649662,78236.52575683,63193.60406494,20206.6414680526
TAG(54:6)_FA 18:0,0.21258570091981355,9.100569144109464,4.864537656656466,0.027414143276540407,0.18420380482306975,896.8 -> 595.8,TAG1,88842.406555187,105162.867126464,80921.10571288,113504.728607193,102984.146850577,70349.284973165,85017.945861827,77082.065673807,83342.505798355,77710.48559568,38006.9627761636
TAG(60:6)_FA 18:1,0.211954344370644,7.7739920171701025,4.828798752314015,0.027988124819382367,0.18481813458316287,980.9 -> 681.9,TAG2,41380.962463396,36140.882843017,45007.103332522,37969.942565927,44064.882995608,35267.242355335096,30137.6019134381,32056.742248537,36516.422637942,30176.602294924,9793.9806823733
TAG(52:3)_FA 18:0,-0.20888051312252842,9.551168908710553,4.697915261232403,0.03019922702429841,0.19603905000519137,874.8 -> 573.8,TAG1,112006.38854981,109478.94750977,104016.94726561,118306.68981933,139130.56921387,108576.3876953,134000.24914549,127152.66918949,139955.86901856,115228.12768554,51067.0636825626
TAG(60:8)_FA 20:4,0.2043479128988438,7.715238575436209,4.488078975411753,0.03413201162153024,0.21787600751743472,976.9 -> 655.9,TAG2,37156.082611072,37169.402618399,40199.482818615,39649.802978483,38408.602401732,30129.3020134055,31851.3022269962,28881.5220604015,35216.702362043,29579.221969608,11285.3207397447
TAG(58:3)_FA 18:0,0.20263741107772953,8.480142420583446,4.417724074326934,0.03556744630137333,0.22331691694140962,958.9 -> 657.9,TAG1,62697.284667969,55657.244079585,75413.185729945,54359.283569305,64294.944763171,44566.88305663,51483.563476553,54989.463623032,55854.824157694,46305.502807582,27749.9618339567
TAG(52:4)_FA 18:0,-0.19796033454920647,8.226527858213414,4.215087738344039,0.0400659941678136,0.2397699338480095,872.8 -> 571.8,TAG1,43162.323181138,44379.62316895,46328.583007811,47611.523437492,48274.322875966,43256.002807607,49180.003479016,51958.703552253,49594.16369629,50583.924011226,22527.7415199281
TAG(56:2)_FA 16:1,0.1981586571473432,9.869216234085274,4.228990875592103,0.03973906099525578,0.2397699338480095,932.9 -> 661.9,TAG1,161405.75195308,165641.35217279,158603.97021485,171512.39135742,183251.09252932,122523.14868164,141757.17089844,135511.11071781,139034.93054204,140420.80932615,60341.2440223833
TAG(58:2)_FA 16:0,0.19867379269336297,8.6342353594225,4.247472859074833,0.03930878366690063,0.2397699338480095,960.9 -> 687.9,TAG1,71380.725158672,56195.243469237,112610.708251965,52946.88372804,56479.523559536,55331.223937972,53729.143737799,54791.643920888,61346.944519024,60199.924377415,27974.782051071
TAG(52:4)_FA 18:1,-0.1965089153291772,9.849609086901385,4.158915375144829,0.04141591686502545,0.24403532552776536,872.8 -> 573.8,TAG1,140505.47045899,142359.47094729,131552.16870114,145466.46984862,166983.61303709,132234.00830077,166486.23144533,160906.19116211,167729.21179198,145702.64941408,57604.9439430045
TAG(50:4)_FA 16:1,-0.1945761834964399,11.952707331668462,4.079443039526723,0.043407964852044754,0.25189773542929,846.8 -> 575.8,TAG1,575230.3427733,619364.94702152,530144.31542996,669996.38378901,750720.99121089,598689.89746099,649302.70556653,671333.690674,766359.5957031,650598.82959002,237597.778053299
TAG(48:2)_FA 16:1,-0.19218409412138943,12.42305576749119,3.9799827495633044,0.046044034786312325,0.2569226769535978,820.8 -> 549.8,TAG1,747404.99169919,850539.27734385,753684.3134766,924221.7822264,1093157.04003901,828538.70019554,917420.001953,930110.68554692,1084102.6757812,863463.7480471,328307.063114007
TAG(50:3)_FA 16:1,-0.19079824621384164,13.74291115800798,3.923065283335746,0.04762796361280794,0.2569226769535978,848.8 -> 577.8,TAG1,1944127.70849616,2218382.91943211,1874371.798828,2308602.0166021,2513411.4394536,2133666.53613273,2276713.0449221,2393467.22949155,2455943.140625,2220766.2382814,838448.87660994
TAG(56:6)_FA 16:1,-0.19252515666156866,8.622134560280495,3.988535796387624,0.04581085721709563,0.2569226769535978,924.8 -> 653.8,TAG1,55724.744506848,54750.424133314,62408.284057628,62407.404846209,54829.86413574,55976.623840324,61939.36407472,64286.924743666,62236.36437984,63834.08459471,37882.7828331022
TAG(60:2)_FA 18:0,0.19178422171900572,8.668209259764874,3.958297548257292,0.04664085164035637,0.2569226769535978,988.9 -> 687.9,TAG1,71408.205505353,59454.48406982,110305.086059593,54737.743408187,58858.144500733,57245.02426146,56056.284057627,62547.103820787,57218.763977038,57386.603942889,30229.8419532881
TAG(60:9)_FA 20:0,0.19098372704586392,8.401934968662516,3.9246494202350277,0.04758311062355615,0.2569226769535978,974.9 -> 645.9,TAG2,61808.344055167,57263.283935561,70178.784729001,61080.844482398,65404.764648425,53315.704074861,50772.5636558205,46335.123214711,56980.483917238,49793.643463118,13979.84103012
TAG(58:5)_FA 18:2,0.1890748328069636,8.423420848044882,3.846696151788592,0.04984408301686633,0.2651428304924973,954.8 -> 657.8,TAG2,56489.84423826,51390.623657221,87337.966796913,57769.263732919,64273.92456056,48522.623168966,50660.04359437,50082.103652931,66535.744873018,44567.623382543,15755.2809181227
TAG(56:4)_FA 16:1,0.18593014933428698,8.636009346723116,3.7203137338146357,0.05375426986808436,0.2820258268421412,928.8 -> 657.8,TAG1,74144.384094285,66295.9641113,75440.365661551,61416.864318834,64921.544250516,52784.603942847,54171.244140623,60016.744140614,59430.004272464,54180.163513157,32944.3221473473
